;index;data_account;data_amount;data_contract_address;data_evt_block_number;data_evt_block_time;data_evt_index;data_evt_tx_hash;data_writeAmount
60;60;\xbebcf6cddce5b5a494d7ce051ae3688a925bd10b;0.8950671952555265;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11295877;2020-11-20 15:47:22+00:00;105;\xd47c26d3841378a1e7a95176b677c1e4a3abf28277147ff513c57c34e91e7f40;8993454669179029340303
61;61;\x7b4778d265f5280f600a2917c6aaf59b44fb2429;4.9698;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11300497;2020-11-21 08:47:53+00:00;276;\x7e104657f3ca0a63fb59ef1a03cbd8d58a5b4065efcc54d2e9f71bebb8c3d73d;50002213591093535703621
62;62;\x2858ab291c3df9070facfad8a50bd554d8b2ffae;0.24848155516512435;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11301507;2020-11-21 12:35:06+00:00;44;\x2a57d9996556021986ae7310118562fb1308456a8abe47b75ad1ddcf48c2456e;2499999999999999999753
63;63;\x3b2cba3423199f73924ad609fa8eec504e1fac1f;1.498976706223484;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11303140;2020-11-21 18:39:35+00:00;134;\xc369fcc151ae978089594f8a2a6f46fff91570e193ec5962d2c570cbd564af6a;14999999999999999999886
64;64;\xa1f45ec49287cee35952d4bf2d7437205af8955e;0.08992526858022759;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11304516;2020-11-21 23:30:21+00:00;293;\xb95a25d465ef1d4ca24c5085d9cb5624b6ce67cde085f882e9f6962f96392605;899999999999999999809
65;65;\xcce853ecb829d914d119724761e3deb6ad982047;0.68162;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11305023;2020-11-22 01:20:49+00:00;177;\xc2947b5c96b24a90c8295e25c7e7b9e0a263af831dd76d095a37aa3ce5015f5f;6823910500764078623451
66;66;\xad5553945d7906ac295bef282338419d72e44e79;0.694745403096781;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11311664;2020-11-23 02:01:50+00:00;165;\xefbff7ce210c76bf62dae5fb4fbf3dac562f91a268f1cd262fb98e461a2b6139;6975603177739662071003
67;67;\xdde4812f8185ce19782420f4068f09e8b45425db;0.8942797085714631;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11315043;2020-11-23 14:35:52+00:00;65;\x0bb987f414c0348d8558a9016ccf621d59e80edb6f2dea097499f7d80e51a169;9000063480924421999427
68;68;\x82d8d99955e38239d865a9dd0d44ef5dd06ba99c;0.9958542081845723;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11315434;2020-11-23 15:58:58+00:00;49;\x3ddff7e9e4931a19a3db92358df63fe9537227917cce94b6be0cc14a5142f496;10024609964545278502619
69;69;\x17518effe921c5ff6e9afc9673315bc12fbb2f48;0.0995195659072888;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11317201;2020-11-23 22:34:55+00:00;132;\x0010ff3d8aded3229f8107b103f50a2d63323aba541d6a48aa6d295e8265abd3;1005418121506504610200
70;70;\x790f717af667f91b87fbe7063034565542fd3929;2.9823907126980833;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11319361;2020-11-24 06:21:54+00:00;9;\xf21b10be46a14b46539c5a3acf9736802e3b9c823860a7a10cb0316e27b13dc8;30152644063896293862657
71;71;\xd38fe3f7f6f1c9f547b979d71fe0cd9f32c3103a;0.29798562247457644;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11320934;2020-11-24 12:09:31+00:00;164;\xad441f424cc42f695c44e02152d3eee8a3e26b9193462722861a91d7643fd493;3012951541750235716556
72;72;\x1b976af94caa1d9b2fe5ed038ef9818dd6d48870;0.019741528768980394;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11328963;2020-11-25 17:49:54+00:00;223;\xc16213330b2c4e7e3de4d2ca50c0dd5cb6d1af202b8e42cb60c818bf8327a199;199787871168516692949
73;73;\xbd240817e5a0e5ff6b5f214ce025817d09195fae;0.09922596031172436;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11334903;2020-11-26 15:43:59+00:00;179;\x33532adde12a0dd8db5b21d834e9f53dc8e3be7cc70a3ce2df3a52aa2941a532;1004274722338266274939
74;74;\xc8fc213ecb824d0b3083449156864b905d1a818c;0.9922480507381676;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11335372;2020-11-26 17:26:29+00:00;308;\xb68c37aa5fc5548ee913c47168c98cc43f0f2b9a405de248b4c2a3f1e745967b;10042639668000703517914
75;75;\x505846a0a89dd26fa5cd0677fd5406039c218620;9.878939849701275;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11338229;2020-11-27 03:52:54+00:00;159;\x65964c85fa190736b26ad3d456fa42cdc0362f49ffd5044b9b7ced3e9958beb0;99987594400896999999237
76;76;\xbd09b8e2e8b1c3789d7f802be2a21dfaf87c32a4;0.063;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11342543;2020-11-27 20:02:08+00:00;319;\xda297e79171c4b48a8181a485bc7a8f55be3b3fe38ad4b27e951006ab6c8ac21;637482301689360440452
77;77;\x976fdc5dfa145e3cbc690e9fef4a408642732952;1.9852612866225796;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11343329;2020-11-27 22:58:25+00:00;119;\x62425584bb1857689a4f2a510595164468234df82de96f316f8f13af4d2f7118;20087962208355391171866
78;78;\xa38475ec707f358f338fc2dc393d92845276e568;32.25611;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11343915;2020-11-28 01:04:11+00:00;123;\x83fef562dd4691a2080935596fb02e356b719ad46212734ea06b52086e2cd0c2;326385006867732668691670
79;79;\xcc7a5bc84f70486ae1377df8ecff15baed73ef05;0.09922848363567348;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11344860;2020-11-28 04:28:49+00:00;115;\x2aa8dbe1f198490c43eed98e38a5190644c810b7cfcea33d0784cc9713b250ab;1004048203980702824509
80;80;\x2eab899ec4fd690f360b07ea31797cf05c91edf7;0.19846345105603846;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11346447;2020-11-28 10:23:16+00:00;276;\x10f239513077f937d5f90dec07ccff909ff1fbceb6acb1d7529264409eb307dd;2008079922360056543755
81;81;\x588d91abf5192a0f0dc026bf05f510253bd1cf51;0.9876640000972042;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11348130;2020-11-28 16:28:18+00:00;88;\x85491df8322aba085b40e350306190c4d7aeea5fe3e2147615c88837f665ce6b;9993117376159999896227
82;82;\xac9f3d30c0e20cfc336829967d6a76808e0fb632;0.14111006888196811;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11348762;2020-11-28 18:47:00+00:00;113;\xf968c91482fede9448d561d6b899c90194da5393e6ffcb0f4f23f4f6b2e21e8f;1427742536363117820626
83;83;\x8be5674caa5db1857b8df20b80ed9a50c06762ad;23.69422;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11349408;2020-11-28 21:07:20+00:00;134;\x0534b9a57b2a879158c8c6b2ffdc2b9be1265a7a69fb0877d8298197277789ca;239736583136687993410137
84;84;\xce66c6a88bd7bec215aa04fda4cf7c81055521d0;0.009898456036969842;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11355976;2020-11-29 21:21:06+00:00;15;\xbd34eca6858991bbba8d37e1d60ba41303088f5cd9f629cd252478888f338100;100403744937579054627
85;85;\xfcfa4369eaa965ac4e36f1dd9fd2852c6542b0f7;0.29699559161362693;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11356925;2020-11-30 00:50:09+00:00;272;\x9debe5376923185387eadf1e6c9c1ea8b2ab33c17b3fd594311856fa04c99036;3012624983380187135146
86;86;\xc07ed5ab5a3cc58cbceaa06fc4a8f7c269f213a2;11.7262551919;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11358846;2020-11-30 07:53:10+00:00;172;\x8f9556261d68ddc722b1a207f3e5dde3ef93a2ae80bec5e93ed552b7f492b1f3;118949999999848550339778
87;87;\x7056bf340c08b611e42663d6dd8c4fa2bc2d6053;2.9444763998025345;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11361452;2020-11-30 17:19:02+00:00;87;\x952f119ed9cd98eb2aaf5c20c99b971375a0f51145d1b3af1e3ba45518f2999b;29961142724176955735285
88;88;\x24ee78f038525eccae186bc3bcf5d2badd850bd9;1.96504;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11361783;2020-11-30 18:35:49+00:00;233;\x2fbd4c5a2e7fc0db0ee64ffb02193403f07acabdaf17da68df5e77e83c988d48;19999979837292395318847
89;89;\xb764d27911451d2b01c9945ace15112a0bfed98b;0.00983;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11362315;2020-11-30 20:31:30+00:00;171;\xbad51c34e3f1070113eca3ea742c98323ef5220e1ec81a2d16c0c6013b8cc292;100050244970852790168
90;90;\x21bff47096014bd377a697fbd8137c73efe884f0;0.0986473159584898;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11362370;2020-11-30 20:42:10+00:00;195;\xafa386c9b93cb633ec51e74c72bac8b8bcae28ae0feb0880cde41ff193c93a9a;1004037449375790547588
91;91;\x99c515bc95e43697b38f419d5359a3876b68e538;2.467979721898812;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11363505;2020-12-01 00:51:59+00:00;161;\x82329f257c3a1b8da9535cd261cd88a5ea025a440299aa85b05a96680b02ed59;25118608704057614999411
